Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,116.739998,117.910004,116.400002,117.269997,111.720345,40235300
2018-10-01,116.660004,117.129997,112.620003,113.040001,107.690521,85842400
2018-10-08,112.989998,115.150002,112.639999,114.470001,109.296104,55557700
2018-10-15,114.660004,114.820000,113.410004,113.709999,108.570457,34410500
2018-10-22,113.949997,115.320000,113.529999,114.989998,109.792580,60778600
2018-10-29,114.839996,115.019997,111.900002,112.000000,106.937752,43740800
2018-11-05,112.480003,113.500000,112.330002,113.349998,108.489426,30603600
2018-11-12,113.949997,114.809998,113.300003,114.699997,109.781517,39172900
2018-11-19,114.410004,115.760002,114.410004,115.139999,110.202660,21338800
2018-11-26,114.860001,115.419998,114.360001,115.330002,110.384499,36803600
2018-12-03,114.680000,119.199997,114.660004,118.410004,113.332443,51792100
2018-12-10,118.870003,119.379997,117.980003,118.480003,113.662582,36765200
2018-12-17,118.589996,122.029999,118.580002,120.720001,115.811485,71280700
2018-12-24,121.129997,121.419998,119.970001,121.050003,116.403534,42103500
2018-12-31,120.650002,123.860001,120.459999,122.110001,117.422844,71407700
2019-01-07,122.620003,122.650002,120.339996,120.930000,116.288139,39594200
2019-01-14,120.900002,121.010002,119.389999,119.559998,114.970741,44036100
2019-01-21,120.309998,121.260002,119.830002,120.529999,115.903473,28240600
2019-01-28,120.540001,122.180000,120.330002,120.959999,116.316994,46625200
2019-02-04,120.440002,122.470001,120.019997,122.349998,117.919502,35799900
2019-02-11,121.860001,122.199997,120.910004,121.980003,117.562897,28446200
2019-02-18,122.419998,122.540001,120.699997,121.570000,117.167747,24085700
2019-02-25,121.169998,121.820000,118.639999,118.660004,114.363129,43134200
2019-03-04,119.290001,121.690002,119.059998,121.570000,117.415268,38875200
2019-03-11,121.400002,122.230003,120.919998,121.750000,117.589088,28456800
2019-03-18,121.570000,125.279999,120.889999,124.860001,120.592819,39496800
2019-03-25,124.809998,126.690002,124.510002,126.440002,122.118790,51430100
2019-04-01,125.290001,125.360001,123.370003,124.029999,119.791153,50458700
2019-04-08,123.830002,124.519997,122.629997,122.669998,118.738716,34671400
2019-04-15,122.779999,123.099998,122.110001,122.900002,118.961357,45705200
2019-04-22,122.470001,124.019997,122.239998,123.809998,119.842194,31114500
2019-04-29,123.230003,124.449997,122.849998,123.660004,119.696999,45379800
2019-05-06,124.309998,125.449997,123.930000,124.750000,121.005531,35824700
2019-05-13,125.400002,126.300003,125.199997,125.989998,122.208298,38171800
2019-05-20,126.120003,128.089996,125.300003,127.779999,123.944557,30465800
2019-05-27,128.270004,131.899994,128.089996,131.830002,127.873024,53317600
2019-06-03,131.910004,132.580002,130.119995,131.740005,127.785683,61887200
2019-06-10,130.679993,131.710007,130.300003,131.460007,127.775810,30081700
2019-06-17,131.389999,133.509995,131.130005,131.429993,127.746643,53546100
2019-06-24,132.160004,133.089996,131.880005,132.809998,129.087967,46623600
2019-07-01,132.570007,134.289993,131.589996,132.429993,128.718628,42185900
2019-07-08,133.050003,133.220001,129.679993,130.220001,126.818855,43294500
2019-07-15,130.449997,132.320007,129.960007,131.690002,128.250427,33420100
2019-07-22,132.470001,132.490005,130.509995,131.470001,128.036194,34784200
2019-07-29,131.820007,136.509995,131.399994,136.509995,132.944534,69516900
2019-08-05,138.139999,143.059998,137.660004,140.050003,136.663574,89244400
2019-08-12,141.720001,148.600006,141.509995,146.130005,142.596558,85877300
2019-08-19,143.570007,146.270004,143.429993,145.960007,142.430695,60508800
2019-08-26,145.869995,148.899994,145.289993,147.279999,143.718750,56038400
2019-09-02,147.089996,148.669998,143.889999,145.789993,142.264786,52472300
2019-09-09,143.830002,144.000000,136.539993,136.539993,133.474060,78741300
2019-09-16,137.880005,141.979996,137.250000,141.889999,138.703964,55733400
2019-09-23,142.240005,143.850006,141.139999,142.729996,139.525085,61838800
2019-09-30,141.880005,146.029999,141.139999,145.990005,142.711884,62498800
2019-10-07,145.160004,145.929993,139.710007,140.440002,137.526825,75500600
2019-10-14,141.479996,141.509995,139.300003,139.580002,136.684677,38174100
2019-10-21,138.570007,140.309998,138.229996,138.520004,135.646637,32548200
2019-10-28,137.580002,141.679993,136.990005,140.559998,137.644333,54872400
2019-11-04,138.970001,139.139999,134.449997,134.910004,132.342041,63401900
2019-11-11,135.380005,138.440002,134.639999,137.759995,135.137756,31893200
2019-11-18,138.210007,140.600006,137.929993,139.899994,137.237000,32388200
2019-11-25,140.300003,141.309998,139.779999,140.419998,137.747147,18785200
2019-12-02,138.139999,141.770004,137.860001,138.350006,135.716537,54555800
2019-12-09,138.990005,140.139999,136.610001,139.039993,136.627899,41413300
2019-12-16,138.399994,138.460007,135.759995,136.649994,134.279358,33627800
2019-12-23,136.809998,137.630005,135.889999,137.320007,135.153625,22433100
2019-12-30,135.889999,139.160004,135.380005,139.119995,136.925201,42087200
2020-01-06,139.690002,139.710007,135.910004,138.440002,136.255936,46560200
2020-01-13,137.880005,139.759995,137.360001,138.020004,135.842621,42669400
